timestamp,open,high,low,close,volume,oi
2003-01-01T00:00:00+05:30,14.74,14.74,14.52,14.57,4132777,0
2003-01-02T00:00:00+05:30,14.7,14.81,14.52,14.6,8012655,0
2003-01-03T00:00:00+05:30,14.69,15.05,14.61,14.94,24049577,0
2003-01-06T00:00:00+05:30,14.98,15.12,14.79,14.85,24429465,0
2003-01-07T00:00:00+05:30,14.91,15.08,14.86,14.98,20986669,0
2003-01-08T00:00:00+05:30,14.98,15.14,14.98,15.06,10794720,0
2003-01-09T00:00:00+05:30,15.07,15.18,14.92,14.96,11441952,0
2003-01-10T00:00:00+05:30,15.07,15.13,14.83,15.08,10283658,0
2003-01-13T00:00:00+05:30,15.09,15.14,14.98,15.07,8275769,0
2003-01-14T00:00:00+05:30,14.74,15.0,14.74,14.81,14881598,0
2003-01-15T00:00:00+05:30,14.89,15.08,14.89,15.06,8736251,0
2003-01-16T00:00:00+05:30,15.1,15.13,14.94,15.06,9454942,0
2003-01-17T00:00:00+05:30,15.23,15.3,14.94,14.99,25831432,0
2003-01-20T00:00:00+05:30,15.02,15.07,14.96,15.0,9101514,0
2003-01-21T00:00:00+05:30,14.98,15.0,14.54,14.58,16235460,0
2003-01-22T00:00:00+05:30,14.48,14.69,14.41,14.47,8880926,0
2003-01-23T00:00:00+05:30,14.47,14.61,14.4,14.45,6063626,0
2003-01-24T00:00:00+05:30,14.56,14.59,14.33,14.43,9104079,0
2003-01-27T00:00:00+05:30,14.43,14.47,14.13,14.2,24485490,0
2003-01-28T00:00:00+05:30,14.14,14.39,14.12,14.28,12757204,0
2003-01-29T00:00:00+05:30,14.32,14.32,13.9,13.96,7158875,0
2003-01-30T00:00:00+05:30,14.12,14.14,13.81,13.89,10739910,0
2003-01-31T00:00:00+05:30,13.92,14.17,13.84,14.12,25901722,0
2003-02-03T00:00:00+05:30,14.21,14.56,14.12,14.4,10716556,0
2003-02-04T00:00:00+05:30,14.25,14.47,12.38,14.33,3168747,0
2003-02-05T00:00:00+05:30,14.03,14.36,14.03,14.14,7641497,0
2003-02-06T00:00:00+05:30,14.21,14.24,13.85,14.19,10842285,0
2003-02-07T00:00:00+05:30,14.16,14.17,14.05,14.09,5917107,0
2003-02-10T00:00:00+05:30,13.99,14.08,13.89,13.94,8484253,0
2003-02-11T00:00:00+05:30,13.79,14.07,13.79,13.97,6195115,0
2003-02-12T00:00:00+05:30,13.84,14.02,13.7,13.92,2839754,0
2003-02-14T00:00:00+05:30,13.88,13.97,13.8,13.91,3619195,0
2003-02-17T00:00:00+05:30,14.08,14.1,13.95,14.05,2517691,0
2003-02-18T00:00:00+05:30,14.05,14.17,14.05,14.14,3257532,0
2003-02-19T00:00:00+05:30,14.2,14.28,14.1,14.2,9132699,0
2003-02-20T00:00:00+05:30,14.05,14.1,13.9,14.06,4107397,0
2003-02-21T00:00:00+05:30,14.07,14.2,13.99,14.14,3110157,0
2003-02-24T00:00:00+05:30,14.31,14.31,13.94,14.0,6993861,0
2003-02-25T00:00:00+05:30,13.97,14.01,13.88,13.94,11506301,0
2003-02-26T00:00:00+05:30,13.96,14.17,13.96,14.12,7817537,0
2003-02-27T00:00:00+05:30,14.1,14.25,14.07,14.16,9049765,0
2003-02-28T00:00:00+05:30,14.21,14.53,14.12,14.38,29894010,0
2003-03-03T00:00:00+05:30,14.48,14.57,14.28,14.34,9146334,0
2003-03-04T00:00:00+05:30,14.2,14.34,14.12,14.22,4511135,0
2003-03-05T00:00:00+05:30,14.18,14.18,14.04,14.14,8215019,0
2003-03-06T00:00:00+05:30,14.1,14.14,13.94,14.03,4148032,0
2003-03-07T00:00:00+05:30,13.99,14.23,13.97,14.17,10010104,0
2003-03-10T00:00:00+05:30,14.1,14.25,14.09,14.16,9307478,0
2003-03-11T00:00:00+05:30,14.08,14.23,14.05,14.2,4056772,0
2003-03-12T00:00:00+05:30,14.12,14.23,14.1,14.16,4512170,0
2003-03-13T00:00:00+05:30,14.36,14.36,13.93,14.03,3122712,0
2003-03-17T00:00:00+05:30,14.01,14.01,13.76,13.79,6787042,0
2003-03-19T00:00:00+05:30,13.92,13.99,13.79,13.86,8766761,0
2003-03-20T00:00:00+05:30,13.92,13.96,13.82,13.83,5872467,0
2003-03-21T00:00:00+05:30,13.83,13.88,13.58,13.6,9716841,0
2003-03-24T00:00:00+05:30,13.71,13.81,13.44,13.51,5882547,0
2003-03-25T00:00:00+05:30,13.51,13.61,13.35,13.58,8418643,0
2003-03-26T00:00:00+05:30,13.66,13.89,13.51,13.85,9111054,0
2003-03-27T00:00:00+05:30,13.83,13.98,13.75,13.85,9595027,0
2003-03-28T00:00:00+05:30,13.88,14.02,13.71,13.94,4330281,0
2003-03-31T00:00:00+05:30,13.9,13.92,13.75,13.88,4979537,0
2003-04-01T00:00:00+05:30,13.9,13.92,13.78,13.83,3206322,0
2003-04-02T00:00:00+05:30,13.79,13.92,13.68,13.83,2619975,0
2003-04-03T00:00:00+05:30,13.81,14.09,13.81,13.97,7213820,0
