timestamp,open,high,low,close,volume,oi
2003-01-01T00:00:00+05:30,92.88,92.88,89.75,90.96,432143,0
2003-01-02T00:00:00+05:30,92.25,92.25,88.75,89.12,181695,0
2003-01-03T00:00:00+05:30,90.49,91.21,89.12,89.86,179127,0
2003-01-06T00:00:00+05:30,91.25,92.49,88.62,89.0,221567,0
2003-01-07T00:00:00+05:30,90.61,92.5,88.88,91.71,660719,0
2003-01-08T00:00:00+05:30,93.86,94.62,90.89,92.19,689527,0
2003-01-09T00:00:00+05:30,92.38,95.62,90.14,94.44,3351271,0
2003-01-10T00:00:00+05:30,95.0,95.62,88.12,89.28,954175,0
2003-01-13T00:00:00+05:30,89.38,92.92,88.38,92.25,347847,0
2003-01-14T00:00:00+05:30,93.0,96.25,92.01,92.88,936423,0
2003-01-15T00:00:00+05:30,95.28,95.28,92.5,93.67,243599,0
2003-01-16T00:00:00+05:30,94.84,96.59,93.75,94.83,531295,0
2003-01-17T00:00:00+05:30,94.21,94.5,92.08,93.55,260679,0
2003-01-20T00:00:00+05:30,93.62,93.62,90.79,91.41,89951,0
2003-01-21T00:00:00+05:30,93.06,93.06,87.64,88.37,177383,0
2003-01-22T00:00:00+05:30,89.5,90.88,88.0,89.07,192111,0
2003-01-23T00:00:00+05:30,90.0,90.0,82.64,84.12,207895,0
2003-01-24T00:00:00+05:30,85.22,89.86,84.75,86.22,546567,0
2003-01-27T00:00:00+05:30,86.49,87.38,81.88,85.5,314135,0
2003-01-28T00:00:00+05:30,86.01,87.25,83.25,85.66,178095,0
2003-01-29T00:00:00+05:30,86.0,87.38,81.58,83.14,144023,0
2003-01-30T00:00:00+05:30,75.62,86.88,75.62,85.75,134807,0
2003-01-31T00:00:00+05:30,85.62,86.25,83.76,86.11,122447,0
2003-02-03T00:00:00+05:30,85.75,87.75,83.75,84.81,231535,0
2003-02-04T00:00:00+05:30,85.62,89.62,85.14,87.74,719423,0
2003-02-05T00:00:00+05:30,87.62,88.75,85.75,87.38,349703,0
2003-02-06T00:00:00+05:30,87.75,88.91,86.38,88.08,127023,0
2003-02-07T00:00:00+05:30,88.75,91.12,87.38,89.86,253647,0
2003-02-10T00:00:00+05:30,91.88,91.88,87.0,87.47,79671,0
2003-02-11T00:00:00+05:30,89.62,89.62,87.31,87.49,83791,0
2003-02-12T00:00:00+05:30,88.12,88.12,87.12,87.6,60511,0
2003-02-14T00:00:00+05:30,88.12,88.12,86.91,87.29,113039,0
2003-02-17T00:00:00+05:30,90.12,91.86,88.62,91.11,194887,0
2003-02-18T00:00:00+05:30,93.5,93.5,88.28,88.9,58503,0
2003-02-19T00:00:00+05:30,90.0,90.75,87.66,88.38,50247,0
2003-02-20T00:00:00+05:30,88.12,89.62,87.75,89.38,41983,0
2003-02-21T00:00:00+05:30,88.75,89.46,87.58,88.07,37543,0
2003-02-24T00:00:00+05:30,90.0,90.5,87.38,87.53,72695,0
2003-02-25T00:00:00+05:30,88.62,88.62,85.0,85.77,118407,0
2003-02-26T00:00:00+05:30,87.25,87.25,83.88,84.41,79239,0
2003-02-27T00:00:00+05:30,86.24,90.5,83.75,87.63,309783,0
