timestamp,open,high,low,close,volume,oi
2003-01-27T00:00:00+05:30,15.0,15.03,14.42,14.67,3841559,0
2003-01-28T00:00:00+05:30,14.68,15.07,14.21,14.96,3078919,0
2003-01-29T00:00:00+05:30,15.19,15.9,14.92,15.38,7406789,0
2003-01-30T00:00:00+05:30,15.6,15.72,15.1,15.24,3367824,0
2003-01-31T00:00:00+05:30,15.24,15.24,14.3,14.54,3384369,0
2003-02-03T00:00:00+05:30,14.6,14.94,14.55,14.79,3561164,0
2003-02-04T00:00:00+05:30,14.99,15.54,14.87,14.98,4525689,0
2003-02-05T00:00:00+05:30,14.96,15.95,14.96,15.63,11986644,0
2003-02-06T00:00:00+05:30,15.6,15.8,15.15,15.73,5772129,0
2003-02-07T00:00:00+05:30,15.8,15.82,15.15,15.26,2794514,0
2003-02-10T00:00:00+05:30,15.16,15.16,14.22,14.4,2235469,0
2003-02-11T00:00:00+05:30,14.48,14.68,13.94,14.18,2914049,0
2003-02-12T00:00:00+05:30,14.28,14.6,14.2,14.33,2202539,0
2003-02-14T00:00:00+05:30,14.12,14.3,13.62,13.69,2089564,0
2003-02-17T00:00:00+05:30,14.08,14.8,13.94,14.6,2393064,0
2003-02-18T00:00:00+05:30,14.85,15.08,14.64,14.78,3014859,0
2003-02-19T00:00:00+05:30,14.98,17.07,14.88,16.89,19867384,0
2003-02-20T00:00:00+05:30,16.6,17.6,16.2,16.87,17485309,0
2003-02-21T00:00:00+05:30,16.79,16.98,16.46,16.61,5363244,0
2003-02-24T00:00:00+05:30,16.65,17.1,16.46,16.56,3934529,0
2003-02-25T00:00:00+05:30,16.4,16.54,15.82,15.94,3445769,0
2003-02-26T00:00:00+05:30,15.83,15.84,15.11,15.2,4792274,0
2003-02-27T00:00:00+05:30,15.16,16.14,15.0,15.98,7679379,0
2003-02-28T00:00:00+05:30,16.3,16.46,15.11,15.33,7174054,0
2003-03-03T00:00:00+05:30,15.56,17.13,15.56,16.32,7654809,0
2003-03-04T00:00:00+05:30,16.31,17.0,15.8,16.84,8849054,0
2003-03-05T00:00:00+05:30,16.8,17.07,16.14,16.98,8785484,0
2003-03-06T00:00:00+05:30,16.98,17.18,16.35,17.03,9576299,0
2003-03-07T00:00:00+05:30,16.8,17.1,16.1,16.82,10302779,0
2003-03-10T00:00:00+05:30,16.86,16.94,15.34,15.87,3814189,0
2003-03-11T00:00:00+05:30,15.54,16.87,15.22,16.6,6131644,0
2003-03-12T00:00:00+05:30,16.58,16.84,15.98,16.16,5771314,0
2003-03-13T00:00:00+05:30,16.3,16.37,15.66,16.05,6073139,0
2003-03-17T00:00:00+05:30,16.2,16.22,15.76,16.06,2684439,0
2003-03-19T00:00:00+05:30,16.32,16.92,16.14,16.35,4916979,0
2003-03-20T00:00:00+05:30,16.4,16.99,16.25,16.91,5650899,0
2003-03-21T00:00:00+05:30,16.98,17.38,16.76,16.86,7393589,0
2003-03-24T00:00:00+05:30,17.23,17.23,16.75,16.9,3648064,0
2003-03-25T00:00:00+05:30,16.8,17.04,16.42,16.93,2180754,0
2003-03-26T00:00:00+05:30,17.18,17.89,16.75,16.93,8429179,0
2003-03-27T00:00:00+05:30,16.89,17.49,16.8,17.34,8003559,0
2003-03-28T00:00:00+05:30,17.34,18.16,17.24,17.76,14046819,0
2003-03-31T00:00:00+05:30,17.48,17.6,16.77,17.15,4548489,0
2003-04-01T00:00:00+05:30,17.08,17.5,16.95,17.29,3378114,0
2003-04-02T00:00:00+05:30,17.44,17.68,17.23,17.4,2897434,0
2003-04-03T00:00:00+05:30,17.72,18.25,17.56,18.12,11865564,0
2003-04-04T00:00:00+05:30,18.12,19.1,18.0,18.99,13682649,0
2003-04-07T00:00:00+05:30,19.2,19.48,18.54,18.76,5793964,0
2003-04-08T00:00:00+05:30,18.76,19.02,18.38,18.78,6635589,0
2003-04-09T00:00:00+05:30,18.75,19.54,18.47,18.65,6436744,0
2003-04-10T00:00:00+05:30,18.7,19.54,18.58,18.83,11043869,0
2003-04-11T00:00:00+05:30,19.01,19.4,18.21,18.44,3648519,0
2003-04-15T00:00:00+05:30,18.78,19.19,17.3,18.06,4800709,0
2003-04-16T00:00:00+05:30,18.37,18.43,17.54,18.01,6072984,0
2003-04-17T00:00:00+05:30,18.19,18.44,17.81,18.0,3372299,0
2003-04-21T00:00:00+05:30,18.0,18.37,17.71,17.95,2534814,0
2003-04-22T00:00:00+05:30,18.1,18.12,16.92,17.19,3145594,0
2003-04-23T00:00:00+05:30,17.57,17.57,16.6,16.67,2851809,0
2003-04-24T00:00:00+05:30,16.7,17.18,15.64,16.41,8288244,0
2003-04-25T00:00:00+05:30,16.5,16.9,15.95,16.19,6143384,0
2003-04-28T00:00:00+05:30,16.37,17.4,16.27,17.25,9399954,0
2003-04-29T00:00:00+05:30,17.33,17.48,16.02,16.21,9154984,0
2003-04-30T00:00:00+05:30,16.31,16.8,16.21,16.55,7761774,0
2003-05-02T00:00:00+05:30,16.75,17.44,16.48,17.33,9369729,0
2003-05-05T00:00:00+05:30,17.6,18.13,17.45,17.56,8284799,0
2003-05-06T00:00:00+05:30,17.61,18.44,17.53,17.59,9171099,0
2003-05-07T00:00:00+05:30,17.84,18.38,17.32,17.45,7408304,0
2003-05-08T00:00:00+05:30,17.48,17.58,17.24,17.41,4030184,0
2003-05-09T00:00:00+05:30,17.42,17.78,17.36,17.54,4973049,0
2003-05-12T00:00:00+05:30,17.8,19.64,17.63,19.29,21594454,0
2003-05-13T00:00:00+05:30,19.74,20.97,19.71,20.58,28219884,0
2003-05-14T00:00:00+05:30,20.96,21.92,20.96,21.24,20938024,0
2003-05-15T00:00:00+05:30,21.4,24.3,21.2,22.41,48373644,0
2003-05-16T00:00:00+05:30,22.58,23.46,21.2,21.76,29593409,0
2003-05-19T00:00:00+05:30,22.19,22.37,21.32,21.61,17296599,0
2003-05-20T00:00:00+05:30,21.6,23.0,21.03,22.83,24542689,0
2003-05-21T00:00:00+05:30,23.52,25.48,23.52,24.3,39031369,0
2003-05-22T00:00:00+05:30,24.6,26.08,24.33,25.66,43012124,0
2003-05-23T00:00:00+05:30,26.28,26.68,25.35,25.77,20226654,0
2003-05-26T00:00:00+05:30,25.8,26.8,24.03,26.38,36616399,0
2003-05-27T00:00:00+05:30,27.0,28.18,24.43,25.29,75571359,0
2003-05-28T00:00:00+05:30,25.71,26.37,24.46,25.71,63331429,0
2003-05-29T00:00:00+05:30,26.4,27.09,24.56,25.02,72651924,0
2003-05-30T00:00:00+05:30,25.2,25.2,23.22,23.46,42530104,0
2003-06-02T00:00:00+05:30,21.0,23.18,19.5,21.46,77972299,0
2003-06-03T00:00:00+05:30,21.6,22.85,21.6,22.11,35230374,0
2003-06-04T00:00:00+05:30,22.4,22.8,21.71,21.94,19715414,0
2003-06-05T00:00:00+05:30,23.0,23.27,21.31,21.51,30805804,0
